Name,Nationality,Sex,Age,Height,Weight,Sport,Gold,Silver,Bronze,BMI
A Jesus Garcia,ESP,male,46,1.72,64,athletics,0,0,0,21.63331531
Aaron Brown,CAN,male,23,1.98,79,athletics,0,0,1,20.151005
Aauri Lorena Bokesa,ESP,female,27,1.8,62,athletics,0,0,0,19.13580247
Ababel Yeshaneh,ETH,female,24,1.65,54,athletics,0,0,0,19.83471074
Abadi Hadis,ETH,male,18,1.7,63,athletics,0,0,0,21.79930796
Abbas Abubakar Abbas,BRN,male,19,1.75,66,athletics,0,0,0,21.55102041
Abbey D'Agostino,USA,female,23,1.61,49,athletics,0,0,0,18.90359168
Abdalaati Iguider,MAR,male,28,1.73,57,athletics,0,0,0,19.04507334
Abdalelah Haroun,QAT,male,19,1.85,80,athletics,0,0,0,23.37472608
Abdalla Targan,SUD,male,19,1.77,65,athletics,0,0,0,20.74755019
Abdelati El Guesse,MAR,male,23,1.9,72,athletics,0,0,0,19.94459834
Abdelaziz Merzougui,ESP,male,24,1.75,67,athletics,0,0,0,21.87755102
Abdelmajid El Hissouf,MAR,male,23,1.7,56,athletics,0,0,0,19.37716263
Abdelmalik Lahoulou,ALG,male,23,1.77,72,athletics,0,0,0,22.98190175
Abdi Hakin Ulad,DEN,male,24,1.75,57,athletics,0,0,0,18.6122449
Abdi Nageeye,NED,male,27,1.65,54,athletics,0,0,0,19.83471074
Abdi Waiss Mouhyadin,DJI,male,19,1.6,60,athletics,0,0,0,23.4375
Abdoullah Bamoussa,ITA,male,29,1.67,55,athletics,0,0,0,19.72103697
Abdul Wahab Zahiri,AFG,male,23,1.75,68,athletics,0,0,0,22.20408163
Abdullah Abkar Mohammed,KSA,male,19,1.72,73,athletics,0,0,0,24.67550027
Abraham Kipchirchir Rotich,BRN,male,22,1.83,65,athletics,0,0,0,19.4093583
Abraham Naibei Cheroben,BRN,male,23,1.76,60,athletics,0,0,0,19.36983471
Abraham Niyonkuru,BDI,male,26,1.62,52,athletics,0,0,0,19.81405274
Abrar Osman,ERI,male,22,1.68,58,athletics,0,0,0,20.54988662
Abubaker Haydar Abdalla,QAT,male,19,1.8,60,athletics,0,0,0,18.51851852
Adam Gemili,GBR,male,22,1.78,75,athletics,0,0,0,23.67125363
Adam Kszczot,POL,male,26,1.78,68,athletics,0,0,0,21.46193662
Adam Sebastian Helcelet,CZE,male,24,1.9,92,athletics,0,0,0,25.48476454
Adama Jammeh,GAM,male,22,1.8,70,athletics,0,0,0,21.60493827
Adel Mechaal,ESP,male,25,1.82,71,athletics,0,0,0,21.43460935
Adelina Pastor,ROU,female,22,1.68,56,athletics,0,0,0,19.84126984
Adrian Blocki,POL,male,25,1.74,62,athletics,0,0,0,20.47826661
Adrian Chacon,CUB,male,27,1.87,90,athletics,0,0,0,25.73708141
Adrian Griffith,BAH,male,31,1.78,75,athletics,0,0,0,23.67125363
Adriana Aparecida da Silva,BRA,female,34,1.66,52,athletics,0,0,0,18.87066338
Afa Ismail,MDV,female,22,1.57,45,athletics,0,0,0,18.25631871
Agata Forkasiewicz,POL,female,22,1.68,54,athletics,0,0,0,19.13265306
Ageze Guadie,ISR,male,26,1.75,56,athletics,0,0,0,18.28571429
Agnes Osazuwa,NGR,female,26,1.62,65,athletics,0,0,0,24.76756592
Agnes Raharolahy,FRA,female,23,1.67,58,athletics,0,0,0,20.79672989
Agnese Pastare,LAT,female,27,1.79,68,athletics,0,0,0,21.22280828
Agnieszka Dygacz,POL,female,30,1.6,47,athletics,0,0,0,18.359375
Agnieszka Szwarnog,POL,female,29,1.65,51,athletics,0,0,0,18.73278237
Ahmad Hazer,LIB,male,26,1.88,80,athletics,0,0,0,22.63467632
Ahmed Ali,SUD,male,22,1.73,75,athletics,0,0,0,25.05930703
Ahmed Bader Magour,QAT,male,20,1.9,90,athletics,0,0,0,24.93074792
Ahymara Espinoza,VEN,female,30,1.8,99,athletics,0,0,0,30.55555556
Airine Palsyte,LTU,female,23,1.87,63,athletics,0,0,0,18.01595699
Aisha Praught,JAM,female,26,1.62,50,athletics,0,0,0,19.05197378
Ajee Wilson,USA,female,21,1.73,61,athletics,0,0,0,20.38156971
Ajla del Ponte,SUI,female,19,1.68,56,athletics,0,0,0,19.84126984
Akani Simbine,RSA,male,22,1.76,74,athletics,0,0,0,23.88946281
Akeem Haynes,CAN,male,24,1.68,71,athletics,0,0,1,25.15589569
Akela Jones,BAR,female,20,1.86,77,athletics,0,0,0,22.25690831
Akihiko Nakamura,JPN,male,25,1.8,73,athletics,0,0,0,22.5308642
Akua Obeng-Akrofi,GHA,female,19,1.68,70,athletics,0,0,0,24.8015873
Alana Barber,NZL,female,28,1.63,52,athletics,0,0,0,19.57168128
Alana Boyd,AUS,female,31,1.71,59,athletics,0,0,0,20.17714852
Albert Kibichii Rop,BRN,male,23,1.77,63,athletics,0,0,0,20.10916403
Alberth Bravo,VEN,male,28,1.99,88,athletics,0,0,0,22.22166107
Alberto Alvarez,MEX,male,25,1.91,78,athletics,0,0,0,21.38099285
Aldemir da Silva Junior,BRA,male,23,1.93,80,athletics,0,0,0,21.47708663
Aleixo-Platini Menga,GER,male,28,1.82,82,athletics,0,0,0,24.75546432
Alejandra Ortega,MEX,female,21,1.65,57,athletics,0,0,0,20.93663912
Aleksandra Romanova,KAZ,female,25,1.68,58,athletics,0,0,0,20.54988662
Aleksi Ojala,FIN,male,23,1.8,62,athletics,0,0,0,19.13580247
Alemu Bekele,BRN,male,26,1.62,59,athletics,0,0,0,22.48132907
Alena Abramchuk,BLR,female,28,1.82,95,athletics,0,0,0,28.6801111
Alena Sobaleva,BLR,female,22,1.78,87,athletics,0,0,0,27.45865421
Alessandra Aguilar,ESP,female,37,1.65,50,athletics,0,0,0,18.36547291
Alessia Trost,ITA,female,23,1.88,70,athletics,0,0,0,19.80534178
Alex Amankwah,GHA,male,24,1.83,68,athletics,0,0,0,20.30517483
Alex Beddoes,COK,male,20,1.81,74,athletics,0,0,0,22.58783309
Alex Rose,SAM,male,24,1.75,80,athletics,0,0,0,26.12244898
Alex Wright,IRL,male,25,1.75,62,athletics,0,0,0,20.24489796
Alexander Hartmann,AUS,male,23,1.98,91,athletics,0,0,0,23.21191715
Alexander John,GER,male,29,1.85,84,athletics,0,0,0,24.54346238
Alexander Kosenkow,GER,male,39,1.78,74,athletics,0,0,0,23.35563691
Alexander Lerionka Sampao,KEN,male,19,1.79,67,athletics,0,0,0,20.91070816
Alexander Russo,BRA,male,21,1.73,61,athletics,0,0,0,20.38156971
Alexandra Burghardt,GER,female,21,1.81,70,athletics,0,0,0,21.36686914
Alexandra Tavernier,FRA,female,22,1.7,82,athletics,0,0,0,28.37370242
Alexandra Wester,GER,female,22,1.8,64,athletics,0,0,0,19.75308642
Alexandros Papamichail,GRE,male,27,1.78,63,athletics,0,0,0,19.88385305
Alexi Pappas,GRE,female,25,1.65,55,athletics,0,0,0,20.2020202
Alfred Kipketer,KEN,male,19,1.67,60,athletics,0,0,0,21.51385851
Ali Kaya,TUR,male,21,1.75,54,athletics,0,0,0,17.63265306
Ali Khamis Khamis,BRN,male,20,1.82,70,athletics,0,0,0,21.13271344
Ali Messaoudi,ALG,male,20,1.78,63,athletics,0,0,0,19.88385305
Alia Saeed Mohammed,UAE,female,22,1.58,54,athletics,0,0,0,21.63114885
Aliaksandr Liakhovich,BLR,male,26,1.72,65,athletics,0,0,0,21.97133586
Alice Aprot Nawowuna,KEN,female,22,1.52,54,athletics,0,0,0,23.37257618
Alicia Brown,CAN,female,26,1.65,57,athletics,0,0,0,20.93663912
Alina Armas,NAM,female,32,1.66,53,athletics,0,0,0,19.23356075
Alina Fodorova,UKR,female,26,1.75,65,athletics,0,0,0,21.2244898
Alina Logvynenko,UKR,female,25,1.8,67,athletics,0,0,0,20.67901235
Alina Rotaru,ROU,female,22,1.75,57,athletics,0,0,0,18.6122449
Alina Talay,BLR,female,26,1.64,57,athletics,0,0,0,21.19274242
Aliona Dubitskaya,BLR,female,26,1.8,76,athletics,0,0,0,23.45679012
Aliyah Abrams,GUY,female,18,1.63,53,athletics,0,0,0,19.94805977
Allistar Clarke,SKN,male,25,1.87,71,athletics,0,0,0,20.30369756
Allyson Felix,USA,female,30,1.68,56,athletics,2,1,0,19.84126984
Almaz Ayana,ETH,female,24,1.66,47,athletics,1,0,1,17.05617651
Alonso Edward,PAN,male,26,1.81,76,athletics,0,0,0,23.19831507
Alonzo Russell,BAH,male,24,1.93,93,athletics,0,0,1,24.96711321
Alphas Leken Kishoyian,KEN,male,22,1.67,59,athletics,0,0,0,21.1552942
Alphonce Felix Simbu,TAN,male,24,1.65,55,athletics,0,0,0,20.2020202
Altobeli da Silva,BRA,male,25,1.81,60,athletics,0,0,0,18.31445927
Alvaro Martin,ESP,male,21,1.79,63,athletics,0,0,0,19.66230767
